# ZPRO - domaci ukol c. 1 (druha varianta) - prace s daty nactenymi ze souboru
# * kod programu napiste do nekolika .cpp/.h souboru (napr. vstupy/vystupy, algoritmy, ...)
# * nactete tento datovy soubor jehoz format je popsan nize
#   (radky zacinajici znakem '#' znaci komentar a pri nacitani je preskocte)
# * nactena data z radku ulozte do vhodne struktury
# * jednotlive radky nactene ze souboru ulozte do pole
#   - staci staticky alokovane pro X zaznamu (kde X je globalni konstanta)
#   - pokud by bylo v souboru vice zaznamu vypiste chybovou hlasku
# * s nactenymi daty provedte
#   + vypiste informace o nejstarsi/nejmladsi osobe
#   + vypiste prumernou vysku vsech osob starsich 20 let
#   + vypiste vsechny pribuzne nejmladsi osoby
#   + vypiste informace o osobach jejichz jmeno je v datovem souboru nejbeznejsi
# * vysledky zapisujte do noveho vystupniho souboru
#
# struktura datoveho souboru:
# * id .......... identifikacni cislo osoby
# * givenName ... jmeno
# * sn .......... prijmeni
# * birthday .... datum narozeni YYYY-m-d
# * height ...... vyska
# * weight ...... vaha
# * mother_id ... identifikacni cislo matky (-1 = nedefinovane)
# * father_id ... identifikacni cislo otce (-1 = nedefinovane)
#
# givenName|mother_id|sn|father_id|height|weight|birthday|id
Alexandr|-1|Fait|-1|192|85.1|1994-9-26|69575
Jiri|-1|Judas|-1|170|46.6|1944-5-19|78010
Eva|40764|Korinekova|66063|179|54.9|1963-12-3|49863
Filip|95165|Beranek|84746|79|9.0|2014-7-10|64862
Vojtech|29250|Ferenc|92913|182|73.8|1972-11-23|97841
Jan|-1|Serkop|-1|180|82.8|1990-3-27|29491
Olga|-1|Judasova|-1|178|66.6|1993-3-10|93687
Jiri|-1|Sikora|-1|170|64.4|1993-8-5|70223
David|34863|Svorcik|41524|187|75.9|1995-8-6|23330
Tomas|-1|Polivka|-1|162|54.7|1913-3-20|61510
Lubos|-1|Svorcik|-1|174|67.6|1969-1-9|41524
Jan|-1|Maly|-1|168|68.1|1920-5-9|82901
Vojtech|60315|Ferenc|97841|162|59.7|1999-3-10|21057
Tereza|-1|Dobryova|-1|176|72.7|1960-3-8|60253
Kristyna|79838|Serkopova|29491|93|11.4|2015-6-1|41874
Stepan|-1|Liska|-1|168|67.5|1981-8-22|99638
Miroslava|-1|Dobryova|-1|167|65.5|1960-4-9|13836
Klara|-1|Polivkaova|-1|188|82.6|1995-8-11|37266
Radka|39752|Macikova|61510|167|56.4|1938-11-10|31367
Leos|34863|Svorcik|41524|177|76.4|1993-3-27|62121
Lenka|-1|Malyova|-1|169|67.6|2000-2-18|77105
Veronika|-1|Malyova|-1|188|93.0|1977-11-11|73743
Laura|11176|Pohlova|44345|150|49.8|2001-10-28|53846
Robert|24813|Vanicky|96787|134|26.1|2003-6-25|16865
Martin|24813|Vanicky|96787|150|47.2|2006-1-24|64139
Jan|60315|Ferenc|97841|185|67.2|1997-12-11|35106
Anna|11776|Beranekova|27894|181|59.8|1985-1-28|95165
Dominika|-1|Malyova|-1|179|74.2|1927-9-26|34514
Pavel|40764|Dobry|66063|194|87.4|1962-9-17|60447
Vladimir|-1|Holec|-1|177|78.1|1923-10-6|85659
Katerina|-1|Polivkaova|-1|175|69.2|1940-3-11|21164
Petra|24759|Kolovratnikova|45668|125|26.6|2010-11-26|83318
Jan|79838|Serkop|29491|78|11.6|2016-1-14|12850
Katerina|60253|Kotlarova|61220|165|57.9|1984-12-8|66882
Monika|79631|Krcova|34798|189|64.2|1988-7-9|91473
Katerina|91473|Krcova|78645|101|18.3|2013-11-18|52001
Pavel|-1|Pohl|-1|186|51.9|1975-3-5|44345
Tereza|82956|Sikoraova|36257|162|57.4|1997-6-25|73553
Jan|-1|Macik|-1|179|71.5|1934-12-13|91629
Petra|-1|Ferencova|-1|189|65.8|1949-12-14|29250
Katerina|24759|Kolovratnikova|45668|117|22.2|2011-11-11|56280
Zuzana|76712|Misekova|97812|185|73.1|1997-11-26|81139
Marie|-1|Judasova|-1|174|52.7|1971-12-8|82956
Tomas|82956|Judas|36257|179|67.9|1997-9-22|57692
Jana|98688|Malyova|52598|116|27.4|2012-3-20|39129
Radim|34520|Toth|-1|189|73.8|1962-5-25|34798
Jan|34863|Svorcik|41524|176|64.5|1995-4-17|32014
David|59217|Polivka|76645|161|48.7|1995-7-3|95096
Klara|26982|Krsnakova|73895|175|43.7|1996-7-20|71168
Denisa|26836|Herainova|-1|136|34.9|2007-11-27|73515
Eva|-1|Svorcikova|-1|174|65.0|1996-7-4|16250
Jan|40764|Dobry|66063|153|54.1|1960-4-26|61220
Maksym|25427|Polivka|67842|80|9.6|2020-8-20|67478
Petra|-1|Ferencova|-1|171|49.3|1974-2-15|51301
Veronika|-1|Judasova|-1|186|56.1|1998-1-23|25119
Lucie|-1|Malyova|-1|177|70.8|1944-10-10|79048
Zdenka|-1|Judasova|-1|200|90.7|1967-8-27|50868
